hmm                    | sunspots               | exp_1 |-648.69686 -83.04642 -847.83210 |218.88772 87.99135 148.94937 | 0.66982 0.66667 0.64610 |  0.11480 0.22657 0.11807 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 5, 'obs_model': 'studentst', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |-481.89876 -55.17465 -709.87153 |193.00412 81.44110 151.81101 | 0.82979 0.76596 0.80142 |  0.15415 0.28478 0.15608 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 6, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |-577.47697 -58.87153 -770.26438 |195.71450 81.70843 145.93914 | 0.61860 0.62411 0.60922 |  0.09880 0.18375 0.10097 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 6, 'obs_model': 'studentst', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |-475.18955 -59.00128 -716.23792 |196.13397 82.23841 144.55937 | 0.83373 0.77305 0.80284 |  0.15553 0.28797 0.15741 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 7, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |-557.73511 -56.61108 -759.64509 |188.06728 80.29037 155.99949 | 0.58865 0.58156 0.58369 |  0.09270 0.16939 0.09596 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 7, 'obs_model': 'studentst', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |0.15406 -37.54039 -531.23638 |188.41750 78.60979 152.87314 | 0.73838 0.75177 0.75177 |  0.12898 0.25044 0.13275 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 8, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |-546.18579 -58.17410 -771.87679 |196.32433 82.47471 153.15207 | 0.60284 0.58156 0.57518 |  0.09365 0.17179 0.09672 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 8, 'obs_model': 'studentst', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |18.90130 -37.37739 -568.60232 |190.02077 78.43147 147.39140 | 0.73444 0.73050 0.72766 |  0.13172 0.24334 0.13724 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 9, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |-535.90068 -67.54141 -786.04358 |183.93784 117.66196 144.37932 | 0.59574 0.56738 0.57660 |  0.09117 0.16875 0.09426 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 9, 'obs_model': 'studentst', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |1.53883 -44.23696 -629.52613 |169.90553 80.12217 158.83845 | 0.75729 0.79433 0.75957 |  0.13909 0.26371 0.14625 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 10, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |-529.70398 -72.10673 -765.77003 |178.92032 86.55825 146.37347 | 0.55556 0.52482 0.53830 |  0.08494 0.14638 0.08727 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 10, 'obs_model': 'studentst', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |31.84333 -41.34662 -604.57605 |191.22094 82.72284 167.96860 | 0.74468 0.75887 0.76028 |  0.13644 0.26789 0.14484 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 11, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |-507.63175 -58.43766 -743.18079 |169.78269 102.26996 161.46708 | 0.56659 0.55319 0.55603 |  0.08715 0.15883 0.09123 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 11, 'obs_model': 'studentst', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |24.03526 -38.60467 -619.32904 |169.13275 78.59718 166.61522 | 0.75020 0.75177 0.74681 |  0.13462 0.25229 0.14107 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 12, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |-486.75987 -55.19722 -720.61249 |191.46431 88.81828 156.94507 | 0.54925 0.53901 0.53759 |  0.08374 0.15542 0.08776 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 12, 'obs_model': 'studentst', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |48.60746 -41.61060 -611.62635 |181.36236 89.31475 163.30082 | 0.73838 0.73759 0.73546 |  0.13223 0.25676 0.13987 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 13, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |-495.96344 -68.84467 -783.50908 |174.37713 119.87359 170.40166 | 0.59180 0.53191 0.56312 |  0.08893 0.16565 0.09354 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 13, 'obs_model': 'studentst', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |60.50096 -40.02366 -581.29436 |175.94918 84.67210 166.11257 | 0.72813 0.78014 0.74255 |  0.13245 0.25717 0.14102 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 14, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |-462.61002 -65.59706 -747.61088 |191.13747 91.61701 151.74393 | 0.50591 0.46809 0.50638 |  0.07598 0.12810 0.08090 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 14, 'obs_model': 'studentst', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hmm                    | sunspots               | exp_1 |58.49634 -41.34353 -601.27334 |186.86019 81.14041 160.89351 | 0.74704 0.78014 0.74681 |  0.13270 0.25116 0.14086 | 0  # {'dataset': 'sunspots', 'model_name': 'hmm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.5, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 15, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
