HMM                    | sunspots               | exp_1 |-2400.84400 -529.02861 -1411.42007 |100.00000 100.00000 100.00000 | 0.93144 0.98345 0.78440 |  0.53090 0.80081 0.52072 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-2523.17362 -561.33779 -1395.10687 |222.46319 138.10344 195.49948 | 0.77305 0.88416 0.59858 |  0.33410 0.50396 0.32770 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'studentst', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-1508.75915 -297.56073 -1009.56905 |399.30867 192.50117 312.18698 | 0.89775 0.94563 0.82270 |  0.33386 0.47268 0.35854 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 2, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-1636.14567 -304.27040 -1052.20737 |225.55831 128.26613 193.49997 | 0.76418 0.83688 0.61560 |  0.20437 0.29141 0.21952 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 2, 'obs_model': 'studentst', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-1015.65417 -234.57060 -702.41014 |167.75906 121.15936 151.69978 | 0.88475 0.88180 0.83688 |  0.22587 0.31237 0.26637 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 3, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-1192.28505 -264.45496 -745.97895 |146.89014 96.92728 132.83957 | 0.73700 0.72340 0.65674 |  0.14964 0.20797 0.17372 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 3, 'obs_model': 'studentst', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-837.64035 -194.16318 -580.98868 |269.42141 115.87714 202.06283 | 0.85165 0.85106 0.82979 |  0.19366 0.26132 0.23341 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 4, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-972.57206 -207.24184 -662.70586 |199.82288 101.64497 158.54595 | 0.68558 0.67139 0.62411 |  0.12593 0.16850 0.15411 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 4, 'obs_model': 'studentst', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-708.74875 -161.90518 -525.20248 |201.48481 115.16183 170.57398 | 0.83865 0.81324 0.82979 |  0.17201 0.23571 0.20913 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 5, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-858.53898 -188.01515 -591.33720 |242.19436 105.98236 180.54084 | 0.64953 0.62884 0.60993 |  0.11209 0.14777 0.14122 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 5, 'obs_model': 'studentst', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
