arimax                 | sunspots               | exp_1 |-933.79846 -94.27286 -475.95200 |179.59486 101.19323 136.21187 | 0.91067 0.91038 0.96028 |  0.20391 0.30968 0.31911 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 2, 'q_arimax': '3', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-901.72969 -95.34119 -456.36899 |182.18256 103.30491 141.87818 | 0.91119 0.91981 0.95461 |  0.20007 0.30448 0.31614 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 2, 'q_arimax': '4', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-903.44393 -96.28902 -459.41659 |180.90424 99.19671 146.27388 | 0.91172 0.90094 0.95745 |  0.20074 0.30523 0.31666 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 2, 'q_arimax': '5', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-926.82926 -96.78459 -477.94073 |174.40021 83.43087 141.54867 | 0.91277 0.91981 0.96170 |  0.20316 0.30860 0.31853 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 2, 'q_arimax': '6', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-909.47935 -95.97062 -466.88879 |171.27746 97.05314 138.36168 | 0.91224 0.91038 0.95887 |  0.20094 0.30500 0.31679 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 2, 'q_arimax': '7', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-934.49185 -94.26838 -475.02886 |181.13708 106.70848 136.30361 | 0.90962 0.91509 0.96028 |  0.20398 0.30979 0.31917 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 3, 'q_arimax': '1', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-913.73796 -96.38607 -460.50966 |180.68283 107.11147 149.78084 | 0.91329 0.91509 0.95603 |  0.20210 0.30896 0.31778 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 3, 'q_arimax': '2', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-930.78394 -97.63429 -475.87378 |178.89614 98.57084 136.46668 | 0.91067 0.91981 0.96028 |  0.20358 0.30920 0.31886 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 3, 'q_arimax': '3', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-929.65796 -97.06122 -476.44411 |178.19134 102.53205 136.68483 | 0.91119 0.91509 0.96028 |  0.20336 0.30888 0.31869 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 3, 'q_arimax': '4', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-929.67524 -97.32750 -475.70482 |178.49710 100.33450 136.94295 | 0.91172 0.91509 0.96170 |  0.20337 0.30888 0.31869 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 3, 'q_arimax': '5', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
