VARMA                 | energy                 | exp_1 |-683.89931 -118.96205 -302.02131 |196.91804 214.91028 1274.71069 | 0.89610 0.82117 0.88293 |  0.35856 0.43118 0.35256 | 0  # {'dataset': 'energy', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 2, 'q_VARMA': '3', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | energy                 | exp_1 |-744.19043 -124.84785 -330.93352 |196.95248 218.98608 1315.47122 | 0.89550 0.82299 0.88512 |  0.35732 0.43090 0.35155 | 0  # {'dataset': 'energy', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 3, 'q_VARMA': '0', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | energy                 | exp_1 |-717.06923 -123.16675 -315.36161 |197.18156 214.34077 1219.44571 | 0.89407 0.81387 0.88348 |  0.35705 0.42922 0.35106 | 0  # {'dataset': 'energy', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 3, 'q_VARMA': '1', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | energy                 | exp_1 |-692.32792 -119.54832 -306.56961 |196.80371 215.48575 1361.05773 | 0.89570 0.82482 0.88184 |  0.35849 0.43109 0.35244 | 0  # {'dataset': 'energy', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 3, 'q_VARMA': '2', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | energy                 | exp_1 |-680.69091 -121.22254 -295.81149 |199.51960 214.17964 1359.91858 | 0.89367 0.80474 0.87856 |  0.35606 0.42829 0.35011 | 0  # {'dataset': 'energy', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 3, 'q_VARMA': '3', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | energy                 | exp_1 |-757.48017 -127.06082 -327.17644 |196.39907 210.97376 1265.84935 | 0.89347 0.81934 0.87965 |  0.35696 0.42873 0.35090 | 0  # {'dataset': 'energy', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': '1', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | sunspots               | exp_1 |-945.41377 -97.05839 -480.84075 |192.25103 141.68856 134.39223 | 0.90646 0.91509 0.86241 |  0.20515 0.31155 0.20151 | 0  # {'dataset': 'sunspots', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': '1', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | sunspots               | exp_1 |-1081.81477 -106.32457 -508.88260 |150.28670 191.80783 117.45185 | 0.90646 0.92453 0.87092 |  0.22039 0.33429 0.21642 | 0  # {'dataset': 'sunspots', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': '0', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | sunspots               | exp_1 |-1995.62449 -195.69975 -1084.18795 |173.86024 164.84780 124.91569 | 0.92170 0.95755 0.79433 |  0.35615 0.53798 0.34942 | 0  # {'dataset': 'sunspots', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 0, 'q_VARMA': '1', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | sunspots               | exp_1 |-1654.83357 -158.03437 -894.39064 |173.22738 308.37659 118.26915 | 0.92328 0.94811 0.83830 |  0.29776 0.45015 0.29219 | 0  # {'dataset': 'sunspots', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 0, 'q_VARMA': '2', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
